roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Albania,0.25,3.29059519212097,2.6782001727153166,2.4143041559253975,,,2.208923174623233,2.0342628648244743,1.8894180562443195,,,,,,,0.1009462467411219,0.15911152664349715,,,0.20178077873417627,0.24159343719777326,0.27870038748585646,,,,,,,0.543721959956815,0.003153498303321039,0.00808464631917248,,,0.012958479417518553,0.018619214236856925,0.02521869318123846,,,,,,,530.9034239123722,0.06507839155037622,530.7442583593629
Albania,0.5,4.9275120048509,4.298205304218768,3.8932269166002853,,,3.3693449922133567,2.8558847546221777,2.4922651323956417,,,,,,,0.1572036525397891,0.24590860063344183,,,0.3123460730075307,0.3770888296576731,0.43326455315615386,,,,,,,0.6074997858466054,0.004991366633374636,0.012768459092170177,,,0.020420597457542943,0.029301389245877184,0.039485054426515155,,,,,,,547.5514357445594,0.1455518932831667,547.3733852626411
Albania,0.75,9.156796646854488,8.594369886635077,7.822995162945487,,,6.693696143810614,5.383399032255108,4.149121840645716,,,,,,,0.25027885947142764,0.3676529731988993,,,0.44821777256541195,0.5345647857379585,0.6060098613979561,,,,,,,0.6769802491648271,0.008161716888639304,0.019960792448618172,,,0.030597620696637337,0.042445512011964365,0.05600031850248969,,,,,,,564.1994475767466,0.2715585358901743,564.0025121659194
Albania,0.975,19.40058178593951,18.507634352704763,17.463972757357112,,,15.996125399092362,14.163146932223786,11.620267175119805,,,,,,,0.6821205807615232,0.7555740794653025,,,0.7879688163837457,0.839016829670637,0.8836842555863696,,,,,,,0.8207744829751631,0.022233151747710338,0.04389219101705544,,,0.05729248657843441,0.07214331777791708,0.09043690371209638,,,,,,,595.9280101784892,0.6562233269428929,595.6950829834685
Albania,max,44.45840326380692,45.44147827364025,49.30516115185357,,,57.63745319934585,59.495813663376886,46.572049428549704,,,,,,,1.2388827762986985,1.0298015664977895,,,1.006236959998364,1.0011950584254121,1.0003952005909116,,,,,,,1.0395657451782805,0.07503495082375858,0.09894076375188064,,,0.10776582177691767,0.11909723152134803,0.14873822957074104,,,,,,,,2.0139097474317462,
Albania,mean,6.794839920412384,6.2101808769436335,5.711909891936692,,,5.070784797739181,4.347951197201128,3.6012279769670705,,,,,,,0.2039649025491421,0.2855144877379022,,,0.34238762729457606,0.40033728064242885,0.4501929740771234,,,,,,,0.6132974795231183,0.006612458023387353,0.015481580855823572,,,0.023264240714283863,0.0320806395119139,0.042256880197876975,,,,,,,547.5514357445594,0.19520817169894766,547.3733852626411
Albania,min,1.1710872691119805,1.1605415921987792,1.1429725494207275,,,1.1220077680715375,1.1101224260860723,1.1023611951587147,,,,,,,0.010979290827891631,0.014487324682709841,,,0.021217954359577886,0.02139626305911559,0.01029577759386643,,,,,,,0.29302302843906414,0.0003581581761228455,0.0007081240993656588,,,0.0014108655628925846,0.0017750065116967243,0.0009616754720338265,,,,,,,,1.0987736892513165e-05,
Albania,std,4.896692233449139,4.791233774822984,4.563180859284934,,,4.197344472841823,3.656089043826139,2.8683807959283265,,,,,,,0.16075987809075643,0.1747592696427724,,,0.18408454865102566,0.19954389697301728,0.21259377342374974,,,,,,,0.09869828791633985,0.0054965286378175675,0.01058799848557169,,,0.013844935822272362,0.0174186595682539,0.021783742983307555,,,,,,,24.682379276108186,0.17984869991660157,24.654380438611497
Algeria,0.025,1.5760239507100957,1.5387590813341945,1.5030319315033125,,,1.4719657315593304,1.4468591422000867,1.4212012200824835,1.4047936044260283,,,,,,0.01960527572372597,0.016829153775608143,,,0.01724882099396622,0.018937232104341756,0.02239657348221889,0.026397960830912757,,,,,,0.906885674137833,0.0014928904043090038,0.0016687000575755517,,,0.0018026798806467994,0.0021848039156014574,0.0029803470848881117,0.004166776521571764,,,,,,821.8537015749865,0.006227654448250131,821.8335266254336
Algeria,0.25,2.737231453473205,2.4780024268439123,2.3348285070822423,,,2.2185263192432174,2.108957963201919,2.016342952085872,1.9451276824179136,,,,,,0.05597880929213889,0.06563575483505123,,,0.0728616310355873,0.0809801916055619,0.09328465858573917,0.10931065607280072,,,,,,1.0087593101517671,0.004250665029577298,0.006976373892122401,,,0.00855908921170197,0.010345608092435434,0.01327759711114707,0.017717878414112025,,,,,,878.40743723428,0.06168627951389111,878.3711900945543
