model,roi,ll_,R0,beta,sigmac,sigmar,sigmad,sigmau,mbase,mlocation,extra_std,q,cbase,clocation,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),car (week 5),ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),waic,loo,Rt-by-week,car-by-week,ifr-by-week,Rt (week 6),car (week 6),ifr (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt (week 10),car (week 7),car (week 8),car (week 9),car (week 10),ifr (week 7),ifr (week 8),ifr (week 9),ifr (week 10),Rt (week 11),car (week 11),ifr (week 11)
nonlinearmodel,"Korea, South",-877.8636736877422,3.753747245744676,0.3201487969150184,0.019483497502334073,0.1431006793910644,0.01251377108954513,0.0522478836614617,0.24627320369156624,55.515000803843705,1.4324702079007814,0.06707506745268277,0.08003001735447395,1.9448913378234094,4.496632413117013,5.081438104445695,5.489983215965835,5.649191232579895,5.621263859647453,5.415422378455532,0.04393896846035275,0.01730050362735601,0.009570906726116893,0.007733626060789129,0.009689824168934937,0.014296153295404844,0.0015981809829293142,0.0007815315697759931,0.00042974975661518126,0.0002642385612984879,0.00035408352324650064,0.000644765845411116,5728.6626004566815,5920.860305492442,,,,5.137727930785154,0.0195129956672206,0.001058220731653401,4.748389895363692,4.3402691688899315,3.9083990514275833,,0.024046965840026524,0.027550564150073755,0.030079770234709348,,0.001476915910138711,0.0018274230977309638,0.002099375441233902,,,,
nonlinearmodel,Kosovo,-143.0658649524287,2.867284541656241,0.22978338409042756,0.008957876097533842,0.05110860029645052,0.03632285039629031,0.06149833911646463,0.19418220123235197,58.35725248556056,2.2196206246843126,0.06982192237871138,1.6399917329669067,35.10964054765902,2.8069352725882766,2.6962368207593235,2.509271235860903,,,,0.0675852222063277,0.07509179714419785,0.08197217239317267,,,,0.008236813702603245,0.014531262712538844,0.01869964982370948,,,,292.6232517508009,330.6872126105029,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Kuwait,-368.66970659647984,4.274967602507442,0.4036204640316796,0.02293383747303917,0.04933796155376323,0.015864574247844723,0.059286119069278206,0.29399980569792894,17.646292405016247,1.418766051979047,0.08012940676085473,1.8858107585220472,31.926365235388356,3.8099558397828153,3.1751590089917676,2.47584874271367,2.0507324379367153,1.872843677651316,1.8232831464934387,0.09004993038599982,0.09453126510531387,0.09496113452708702,0.09338883434792498,0.09659149308603394,0.10436491860864994,0.0044270474693614914,0.007776036531906566,0.009801104617713325,0.010759083432262728,0.011340829957347663,0.011759111450030996,1655.5491295774368,1999.5369263375958,,,,1.8265691677562232,0.1152985752817084,0.012649368746678984,,,,,,,,,,,,,,,
nonlinearmodel,Kyrgyzstan,-183.58077811865402,5.076451517324921,0.5780270886123067,0.025632442114695727,0.05420649452749099,0.029247552865361084,0.06714985481751354,0.2439964503778215,44.08826769548156,1.6236113021875038,0.07259150993424324,2.8253457079049547,26.644409752060646,4.792792312254933,4.423756537645652,3.8896038815843887,3.2961024676225184,,,0.11287849010939391,0.15381583434234336,0.1746692724300732,0.18985368808183656,,,0.007851256748684414,0.016963960116100525,0.02340795082309184,0.028531975731269282,,,395.4756793737714,573.7417621342463,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Latvia,-234.89112806064844,4.910595648229412,0.47575543459481623,0.020490833579678583,0.03909344572581132,0.030717405771632462,0.06729908474418742,0.19975640383003118,46.240538542122856,2.079813711653574,0.07180589445722647,2.5356813469934236,32.584619600230326,4.682010592253755,4.391856707070129,3.9200451368269658,3.3929238548948426,2.8880760870266853,,0.09323279854506246,0.13052797797085788,0.15901572872830633,0.18337660103015624,0.20218552228527523,,0.007262498330151071,0.01634083868965628,0.025629366959188153,0.03497333094955869,0.04430457672795106,,482.4310405626644,534.7253533866177,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Lebanon,-308.3775074440372,4.820100634525525,0.39744626659181337,0.0176934522086375,0.033492998487539234,0.017818693963074637,0.06354604038811618,0.21158466478330895,47.73336233219065,1.2258473442851192,0.07263106610361542,3.0781774873381362,33.10881587078873,4.5866712275718875,4.3352756663328575,3.928986365899192,3.477776018471869,3.03162783327903,2.613583418418571,0.08215768062962894,0.11220388275755643,0.13956098414536375,0.16901442122000587,0.1987671824071937,0.22444907875389986,0.003640082766324473,0.007884667716533345,0.012395744739709634,0.01888335641315654,0.027300680897620725,0.036401804864935425,671.0324621965874,960.2230489675795,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Liberia,-65.40909340714333,5.2853146621216105,0.6283762715632851,0.02873259304788435,0.049142942649058746,0.06140327274422021,0.06992353115930897,0.15005687036525317,50.26825593585187,1.8487571581276887,0.07042696295438625,2.623955867545056,29.29135217505909,4.90974005370369,4.586093943236688,,,,,0.14492377611875185,0.2170107857168929,,,,,0.021696925736629853,0.0534866696359553,,,,,134.6954559322789,134.94694982246637,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Libya,-74.55685975994092,4.297254510729829,0.5733464186988511,0.02883177080044424,0.054164182928516734,0.06573035002616484,0.07421932859965243,0.15241620677404266,45.77554822022077,1.9073599836273711,0.06843133063110413,2.61852158674166,23.509711390840494,3.800160739765997,3.5173713463892358,,,,,0.13931036194629842,0.17866771694024047,,,,,0.021878064258991733,0.04818686754346548,,,,,154.0193186467334,154.20951745988282,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Liechtenstein,-84.26506540982925,5.0427527218326516,0.8028810792642069,0.043130935587604086,0.05538708059326321,0.06816462576490163,0.08037974976592735,0.10291992658024945,32.48606891597713,4.391995143695888,0.06492926925355418,3.55884171613189,18.758217671644218,4.092302587193319,3.514909389528965,2.8276951010438838,2.1684299541753633,,,0.256803731232023,0.3613652249490197,0.440352949890554,0.42882514538664973,,,0.035951310394075266,0.10161470104863164,0.12301678229027292,0.18045588657124795,,,171.46586669976247,171.45879289039058,,,,,,,,,,,,,,,,,,,,,
nonlinearmodel,Lithuania,-286.75834122404285,5.511732633851692,0.49410227469198564,0.022808768982990266,0.03309547253841634,0.022159562084450843,0.06618088711039839,0.2131240719700761,56.904934439075916,1.526071577143155,0.071845593808634,2.5103866608925243,38.81839912301423,5.317004713565761,5.12410020856329,4.848276929161737,4.5290603731494965,4.164713351094138,,0.0812206280964298,0.10696191893241287,0.13564371511318674,0.1689087378184494,0.20118794184839706,,0.004069216729879598,0.008186051971577592,0.013476966800326756,0.021349082535307068,0.03110000808688411,,636.7434811933554,1203.1066887103334,,,,,,,,,,,,,,,,,,,,,
