roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),extra_std,ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),loo,q,waic,Rt (week 5),car (week 5),ifr (week 5),Rt (week 6),car (week 6),ifr (week 6),Rt (week 10),Rt (week 11),Rt (week 7),Rt (week 8),Rt (week 9),car (week 10),car (week 11),car (week 7),car (week 8),car (week 9),ifr (week 10),ifr (week 11),ifr (week 7),ifr (week 8),ifr (week 9)
Albania,0.25,2.7557115730590818,2.7303266797540924,2.4594055432810342,2.2582826588599367,2.0930227719078167,1.9436534299158474,0.08891467381131554,0.13270947808778025,0.16348402365086068,0.19409531017403742,0.22276180614007027,0.5441637323904251,0.002766947251179211,0.0067116688694265954,0.010479060283107099,0.014891166510188587,0.02011718974745849,531.0161956730755,0.06464911457515028,531.0227555192866,,,,,,,,,,,,,,,,,,,,,
Albania,0.5,3.950218611330879,4.228796674873187,3.848085983285983,3.387733898629127,2.937633742341327,2.5838317560749746,0.1420682467724559,0.2122859446107819,0.2610390224250755,0.30949090813227664,0.3538141165457649,0.6074777195046436,0.004497120896461842,0.010980703818718367,0.017073697547268722,0.024098778077635476,0.03222497974551523,547.6809544204215,0.1449645872989243,547.6822704394199,,,,,,,,,,,,,,,,,,,,,
Albania,0.75,6.536724621012704,8.107816976825115,7.423590578579157,6.442708863664372,5.291526843203532,4.182486395084812,0.23397647829220222,0.33511337381538187,0.39807417270344636,0.46205227887943173,0.5192222034538327,0.6758358781621648,0.007534444104188759,0.017966906147002894,0.02701418756279026,0.03688196811565274,0.04811608284827227,564.3457131677674,0.2711542972188715,564.3417853595531,,,,,,,,,,,,,,,,,,,,,
Albania,0.975,13.439460854152843,17.842201977776245,16.927010496172436,15.62510739319935,13.915003221903518,11.474440196266912,0.5884609740463516,0.6862966432113291,0.7271174526430246,0.7660779586921258,0.8065102882836624,0.8212457770581919,0.01940624806378493,0.040222949963627144,0.054466341476554644,0.06771096745378581,0.08272578611360558,596.1061928267152,0.6575889814513478,596.0922710863925,,,,,,,,,,,,,,,,,,,,,
Albania,mean,5.0541422523224195,6.002404654720861,5.548782892109166,4.976481771346126,4.326444265288989,3.628766950868311,0.18493135987102266,0.25471720668181685,0.29842305595142893,0.3419152380589322,0.38172607111190604,0.6133603333341364,0.0059646404895876606,0.013778157186963562,0.020418493022030505,0.027606184238917735,0.03586815554876948,547.6809544204215,0.19494193220304334,547.6822704394199,,,,,,,,,,,,,,,,,,,,,
Albania,std,3.236420011704367,4.549799498879124,4.363242895866837,4.0396459742122435,3.5411675130865854,2.7997710664825997,0.14169791530133705,0.16491752922215186,0.17555564956365327,0.18733940307171365,0.19875047479331678,0.09829737452781093,0.004838409200427622,0.009973060132924965,0.013470737840884829,0.016696105257521375,0.020365326704284974,24.70720828967567,0.180210137298431,24.699433779816655,,,,,,,,,,,,,,,,,,,,,
Algeria,0.025,1.6009116246594017,1.6006766093549434,1.5615103950821043,1.5309624243732247,1.5076329932442167,1.4787593801554624,0.01796487323738578,0.015478862026325646,0.0157576957805262,0.017344809933442614,0.02061328523260272,0.9079783223561773,0.0013758851698471442,0.0015388404701036364,0.0016435103639714827,0.0019637128304742296,0.0027175182252195266,822.2000327736052,0.005849794065149939,822.1170953312763,1.4434131762179212,0.024816397624328225,0.003866738712572479,,,,,,,,,,,,,,,,,,
Algeria,0.25,2.6789025432813065,2.5850868229221247,2.4780638887574895,2.3854865066892197,2.288657595263138,2.1899406862510773,0.04721053447345359,0.05223847022194564,0.05705416413284941,0.06360458181326809,0.07422725209602668,1.009507462787812,0.0036478112023115698,0.005517530073662469,0.006644099037924222,0.007969365681017306,0.010416880083179382,878.9759839847636,0.06020902496139069,878.8623581151417,2.0958822378000677,0.08813664787610452,0.014221483766879216,,,,,,,,,,,,,,,,,,
Algeria,0.5,3.642288226006512,3.5485548687384036,3.411860938922054,3.2403972243009664,3.0336633467703793,2.8362272958303274,0.08133684675558676,0.09763584852556506,0.10996798228421768,0.12430400182285929,0.14227660111572726,1.0675500883827094,0.006297307631111773,0.010616156381406054,0.013476671436974471,0.016365239050906664,0.020707286722601234,908.7663882779331,0.14295270627701445,908.6366601566236,2.666894013656375,0.16574183361658681,0.027091057623480283,,,,,,,,,,,,,,,,,,
Algeria,0.75,5.315058147177425,5.363521506751359,5.077959493992232,4.65336526385697,4.231391214504598,3.84810487461418,0.14511580552303366,0.17744719527957153,0.19709942535355424,0.22373957907630004,0.2628893338966274,1.1289706866055154,0.011283350640260693,0.019832519412244034,0.02523088537132413,0.030483205267980963,0.03843039603614431,938.5567925711024,0.2797759395079804,938.4109621981056,3.549557217208023,0.30514186507579566,0.04979054012883459,,,,,,,,,,,,,,,,,,
Algeria,0.975,12.283281620176965,12.640389449570499,11.709599972966725,10.281207983247851,8.694228502824716,7.408010961450884,0.5800569540280299,0.5884574666711567,0.5976533797394089,0.6072347740388137,0.6305836317629522,1.2569979625251557,0.0420323092570845,0.0667367441190316,0.07877831710343525,0.08587277999092652,0.09528239887452075,995.3327437822609,0.7318711202467465,995.1562249819709,6.625205192499032,0.6738686695984759,0.11340859615355364,,,,,,,,,,,,,,,,,,
Algeria,mean,4.491434857053594,4.4965343247965395,4.252986809897884,3.9278328660335555,3.5746250716387125,3.2605781356899985,0.12574563593848476,0.14269738322388964,0.15399947809789172,0.16845232928235968,0.19049042823703394,1.0714090331088777,0.009711750869459225,0.01607896343126622,0.019814944339961085,0.0231833952121843,0.02818426097707938,908.7663882779331,0.20215120897657174,908.6366601566236,3.0254295730486644,0.21843629612028007,0.036087565638260155,,,,,,,,,,,,,,,,,,
Algeria,std,2.8200836354337935,2.9740391655970244,2.760692252496338,2.4203548091956812,2.0065619661660934,1.642847928388055,0.13854872829133008,0.1412538656172067,0.1445019525340736,0.14888076065672518,0.1581764366653406,0.08919438859533001,0.010982979378146367,0.017083209241683543,0.020244056232785534,0.02226045539427423,0.024792421495747008,44.16731949523159,0.19855578463663415,44.14344626115715,1.4240537606585866,0.1728223106906173,0.02972787815701137,,,,,,,,,,,,,,,,,,
Andorra,0.025,1.3981764782394195,1.4350038496493698,1.4178016867549161,1.3979897163469868,1.3604548128178724,,0.017996308043937523,0.01724698139010767,0.01845694498224651,0.020034894743689177,,1.1325264978278156,0.0010084088715570213,0.0016498333723997606,0.002236549774487285,0.0029410492346176394,,447.05994468762043,0.004937655523332538,446.99902746919423,,,,,,,,,,,,,,,,,,,,,
Andorra,0.25,2.334886487472681,2.4719145974867898,2.424170091873889,2.3257984080074623,2.1948842073295936,,0.04181929352126887,0.04823402532794664,0.05542715897953666,0.061985572541054954,,1.2988209434563398,0.002537144420489974,0.004895425624400851,0.007163588725728812,0.00951866683235847,,489.33692201018675,0.05866719638718388,489.2395958514751,,,,,,,,,,,,,,,,,,,,,
Andorra,0.5,3.3580061683416282,3.621876280063627,3.5239169540456716,3.361757560002143,3.1321878288829135,,0.0694056109803483,0.08489533862251634,0.09913351927355461,0.11098979340964785,,1.3963965785563965,0.0043246372097809575,0.0088306243000256,0.013193344451664646,0.017582723251474655,,511.51969869407395,0.14066295658088637,511.40326872419126,,,,,,,,,,,,,,,,,,,,,
Andorra,0.75,4.833911059336806,5.242773771516559,5.11552569342798,4.88917642120421,4.565523614307723,,0.12087144342328705,0.1511396608773755,0.1769881331488445,0.19820416645694897,,1.4993449399578351,0.0077392200226509954,0.01614277499994536,0.02427772488105175,0.03234293295078137,,533.702475377961,0.2775494193946365,533.5669415969076,,,,,,,,,,,,,,,,,,,,,
Andorra,0.975,9.999212736929167,11.129691849285901,11.239302302931382,11.059064301198923,10.319088423901002,,0.4204011144450849,0.46891339354884287,0.5130320702492959,0.551179083918227,,1.7220852729245189,0.028002417899028836,0.05231769629093904,0.07385327379674962,0.09455109534109855,,575.9794527005274,0.7393472536217249,575.8075099791884,,,,,,,,,,,,,,,,,,,,,
Andorra,mean,3.93617289494026,4.268324117031063,4.203080758087616,4.051088161852727,3.800260054091323,,0.10611283521424844,0.12348762266008559,0.14041662464445911,0.1548406924712914,,1.4037254393932328,0.006809430077675431,0.0132936526079442,0.01942621284716386,0.025500264168433488,,511.51969869407395,0.20070963495861455,511.40326872419126,,,,,,,,,,,,,,,,,,,,,
Andorra,std,2.3529123983122275,2.6812495106160013,2.7665244739198624,2.7696750985935785,2.618424787114268,,0.12772746888273007,0.12354479281784944,0.13131687278076015,0.13939522619601896,,0.15001531814666513,0.008768595413029339,0.014507755191376768,0.019742411385501646,0.02488370796912461,,32.88823392414543,0.1987210965446365,32.8599105713215,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.025,1.216841624687048,1.0452856698885091,0.9191004947508724,0.7920085096156695,,,0.0205448010459203,-0.13850978464580707,-0.049673910909818396,,,2.311827481227734,-0.019101937299820636,-0.05021373043339667,-0.055046416819591625,,,68.02113645772373,0.004652658301291362,68.01739057676004,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.25,2.318773471792154,2.073161821278665,1.9279608684246696,1.7506643321380413,,,0.07424069006293187,0.09042691571962738,0.09956103351158288,,,2.9456914458228285,0.014680560478624908,0.029071370663015073,0.038208610060092206,,,94.9367268068284,0.05027284135440201,94.93268770420178,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.5,3.7243774360560122,3.368801385848844,3.150610007706856,2.8721377939416004,,,0.1927131589456912,0.26129097801411194,0.29405971751636795,,,3.345106419944495,0.036983258840426976,0.08379306740610852,0.1144397107368597,,,109.0593667835157,0.12045369768329864,109.05517382715877,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.75,5.997938465893852,5.57752371329384,5.269464563323054,4.857752283324791,,,0.5181541051497461,0.6253710363298203,0.6611779890297677,,,3.809020787217168,0.09281310678423266,0.212191264068676,0.27753134508501237,,,123.18200676020298,0.24454351408119868,123.17765995011572,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.975,13.152390517187913,12.797965691551022,12.523324168114438,11.970340286194528,,,1.4645202553063972,1.6225177150540697,1.6600799220259546,,,4.889206924573211,0.39235751842822564,0.7315428218382705,0.8117447481460677,,,150.09759710930766,0.6520177713299964,150.0929570775575,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,mean,4.643376617463194,4.319815413134362,4.1022200661890835,3.809140416022729,,,0.34887631439268885,-0.3280178452620054,0.49194308783915985,,,3.4142256513062033,0.07852730958018797,0.5218758312311074,0.21476279512020632,,,109.0593667835157,0.17596920876731748,109.05517382715877,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,std,3.264968568990754,3.221767689774487,3.203856378050395,3.1303765206714473,,,3.100677381521352,98.0906307491605,13.225918292043877,,,0.6609030019312406,0.42147406316221386,51.4022596573737,2.731069650174953,,,20.938257360592488,0.1773569722823099,20.938029256710593,,,,,,,,,,,,,,,,,,,,,
Argentina,0.025,1.842434605824918,1.8521348948453538,1.8440809555923436,1.8338894613272418,1.822818270021592,1.8058339902827178,0.01452269330064496,0.012361850466669025,0.013640578592067876,0.016501839142696706,0.020076570923387577,1.0343477867614843,0.0006270174944945624,0.0007183566910362729,0.0008845798738925964,0.0012715056938845696,0.0019003465880902026,721.5494646861596,0.00548016421713771,721.3879451184484,,,,,,,,,,,,,,,,,,,,,
Argentina,0.25,2.954749655328727,2.965863244460794,2.955331296946926,2.9415977924951973,2.923229298604161,2.899388641123169,0.032077653239110236,0.03103517383150121,0.03533401077696351,0.04385164167632549,0.05483878624707346,1.1483351795782446,0.0014844440713226454,0.0019235264861096908,0.002459931465996552,0.0036322369294710926,0.00552257367993366,779.4738056936148,0.057950925327972,779.1919214120453,,,,,,,,,,,,,,,,,,,,,
Argentina,0.5,3.850563165210964,3.863836344194844,3.8566732805531228,3.840370000923839,3.81823796016632,3.7870893920163,0.05240205529373487,0.052207322514310414,0.06002422550313348,0.07504079018865382,0.09410808752747263,1.2139792851033142,0.002479260754521286,0.003313369528389288,0.0043215162518728326,0.006409337278442943,0.009691423140927496,809.8667713809666,0.13801182005637658,809.5217316011273,,,,,,,,,,,,,,,,,,,,,
Argentina,0.75,5.031867323582914,5.0573070750954665,5.050671737154244,5.035202728456735,5.007524279422784,4.966012471202925,0.08909129588273595,0.0918288111236324,0.10796240316140296,0.13431410720242482,0.16634506310829256,1.2848583377514602,0.004364404323376379,0.006007332371987218,0.007998786542863743,0.011725408426492032,0.017455088594639255,840.2597370683185,0.2708258917457079,839.8515417902095,,,,,,,,,,,,,,,,,,,,,
Argentina,0.975,8.687863054021587,8.840518625945515,8.873686395815755,8.880362540568383,8.83770346595698,8.72306098299373,0.2780918284930643,0.27358220985001863,0.31823308676623074,0.38608078081057823,0.45462481834616175,1.4322406579633722,0.014121370171804667,0.018855166210589365,0.0249779586533546,0.03545629805878153,0.05002475056112371,898.1840780757738,0.7239655729195427,897.6555180838062,,,,,,,,,,,,,,,,,,,,,
Argentina,mean,4.202916270550729,4.230987899964836,4.231306579832366,4.222013232086988,4.198553137305245,4.154323854936511,0.07571132730498555,0.07518023190292758,0.0872075200622391,0.10740738380760065,0.13103536888821457,1.2193359325051258,0.0036954091595263346,0.004953764917556363,0.006537235450664858,0.009467088598573332,0.013866390128612445,809.8667713809666,0.19695538687912936,809.5217316011273,,,,,,,,,,,,,,,,,,,,,
