Region,Model,Mean R0,CI lower,CI upper,Mean R current,CI lower,CI upper,Mean WAIC
Lithuania,fulllinearmodel,5.7726,2.0762,20.2987,4.6507,1.7516,12.7356,576.17
Luxembourg,fulllinearmodel,6.2788,2.4947,18.1906,5.9355,2.3883,14.8258,727.12
Malaysia,fulllinearmodel,1.8269,1.1605,3.3772,1.6832,0.5279,3.3725,1270.14
Mali,fulllinearmodel,6.561,1.6811,21.1719,4.683,1.6042,17.5379,252.01
Malta,fulllinearmodel,5.3183,1.4752,17.7087,2.1296,1.1714,5.8107,427.07
Mauritius,fulllinearmodel,6.3041,1.6917,21.2365,4.165,1.4325,15.699,360.36
Mexico,fulllinearmodel,3.0962,1.426,10.3685,2.8695,1.3697,6.1037,864.65
Moldova,fulllinearmodel,6.5146,1.789,24.9998,3.4666,1.5974,10.078,623.05
Monaco,fulllinearmodel,4.803,1.356,14.5436,2.3882,0.5714,9.2833,241.94
Montenegro,fulllinearmodel,7.0535,1.8188,22.033,3.932,1.4181,14.8051,349.62
Morocco,fulllinearmodel,6.8236,2.4982,19.2799,6.159,2.2788,15.8027,635.2
Netherlands,fulllinearmodel,5.2645,2.23,15.167,3.7477,1.7675,7.6598,1269.55
New Zealand,fulllinearmodel,3.3173,1.5177,8.3407,3.2603,1.509,7.9717,653.49
Niger,fulllinearmodel,5.4965,1.7337,19.8508,4.7651,1.6925,16.9842,337.1
Nigeria,fulllinearmodel,5.8626,1.5608,17.9069,3.5474,1.4131,13.02,427.28
North Macedonia,fulllinearmodel,5.0846,1.6973,18.6581,3.0914,1.4701,7.7656,570.53
Norway,fulllinearmodel,5.4412,2.1951,17.2986,2.7525,1.4047,5.6115,961.57
Oman,fulllinearmodel,2.6409,1.3024,11.3117,2.1847,1.1739,4.3454,603.71
Pakistan,fulllinearmodel,3.7186,1.6392,9.6088,3.3731,1.5822,7.1691,942.62
Panama,fulllinearmodel,6.0504,1.7085,22.9115,3.4617,1.5363,11.2592,682.39
Paraguay,fulllinearmodel,3.9057,1.3273,14.4227,2.2192,1.1326,7.2713,333.78
Peru,fulllinearmodel,4.4531,1.6784,15.7611,3.2678,1.5298,7.4988,924.1
Philippines,fulllinearmodel,8.1191,2.3694,32.9272,4.6509,1.9379,11.2546,870.97
Poland,fulllinearmodel,6.0655,1.9327,24.3742,3.8274,1.7024,9.2302,911.43
Portugal,fulllinearmodel,5.2552,2.3427,12.2676,4.6919,2.1377,9.5284,1097.47
Qatar,fulllinearmodel,8.4788,2.2157,26.3975,2.3309,1.33,5.0226,800.16
Romania,fulllinearmodel,4.3264,2.0517,8.7836,4.1195,1.9991,8.0456,970.94
Russia,fulllinearmodel,2.6351,1.0899,6.8269,2.7419,1.2765,5.9992,1110.46
San Marino,fulllinearmodel,5.4013,1.4666,15.9724,1.3736,0.8657,3.1186,510.9
Saudi Arabia,fulllinearmodel,5.2149,2.0054,16.0505,3.9048,1.7281,8.6127,908.04
Senegal,fulllinearmodel,3.5063,1.668,9.2178,3.1528,1.495,6.7589,510.48
Serbia,fulllinearmodel,6.8024,1.7812,24.6652,3.2264,1.5418,9.022,678.22
Singapore,fulllinearmodel,3.8794,1.6743,8.944,1.8421,0.9505,3.5401,1219.03
Slovakia,fulllinearmodel,7.8064,1.9154,24.5877,2.6649,1.3354,7.7212,528.2
Slovenia,fulllinearmodel,7.6514,2.4395,24.3025,4.1828,1.6784,9.0603,690.18
Somalia,fulllinearmodel,4.2491,1.5683,16.8085,4.063,1.5486,15.2602,116.42
South Africa,fulllinearmodel,6.0643,2.1567,20.7182,4.4627,1.7385,11.1577,660.21
Spain,fulllinearmodel,5.2503,2.5715,9.8921,4.0846,2.1656,7.1411,2003.88
Sri Lanka,fulllinearmodel,7.9752,1.9626,22.211,2.4691,1.0573,10.3986,405.54
Sudan,fulllinearmodel,3.7811,1.2342,14.1191,3.1346,0.8156,12.2931,126.76
Sweden,fulllinearmodel,5.9168,1.9348,20.7756,2.5925,1.3976,5.4581,1116.42
Switzerland,fulllinearmodel,3.6832,1.841,8.0174,3.2841,1.7669,6.4144,1491.72
Syria,fulllinearmodel,3.5575,1.1895,12.6816,2.5054,0.4232,10.2225,126.15
Taiwan*,fulllinearmodel,2.0273,1.1986,5.2441,0.771,0.0868,2.0704,728.39
Tanzania,fulllinearmodel,3.2845,1.3346,14.9017,2.6414,1.1856,9.8687,194.71
Thailand,fulllinearmodel,1.8601,1.1799,3.4691,1.3088,0.2119,2.9572,1122.5
Togo,fulllinearmodel,4.5429,1.3206,14.0564,2.5886,0.7478,9.8519,263.9
Trinidad and Tobago,fulllinearmodel,6.3723,1.8463,20.6912,3.952,0.9779,12.4528,288.34
Tunisia,fulllinearmodel,5.2788,1.7715,19.7556,3.4069,1.4323,9.8364,529.14
Turkey,fulllinearmodel,9.9647,3.8243,28.819,9.8944,3.8086,28.1698,1084.46
Ukraine,fulllinearmodel,6.751,2.2333,24.7075,5.8169,2.0722,18.6419,619.31
United Arab Emirates,fulllinearmodel,2.0423,1.1202,5.4975,2.1042,1.1625,4.449,958.26
United Kingdom,fulllinearmodel,2.8845,1.3184,6.7225,2.0681,0.8327,4.995,1552.1
Uruguay,fulllinearmodel,6.3031,1.826,20.7876,4.1342,1.3505,13.9269,460.44
Uzbekistan,fulllinearmodel,4.5545,1.5255,17.9534,3.149,1.4335,10.2747,464.71
Venezuela,fulllinearmodel,8.4485,2.362,24.6423,4.2219,1.2303,14.7051,378.83
West Bank and Gaza,fulllinearmodel,4.5138,1.3682,15.9936,1.7645,1.0632,3.8781,429.4
Zambia,fulllinearmodel,4.3354,1.2694,16.3098,2.338,0.2495,10.6531,201.45
Zimbabwe,fulllinearmodel,3.9311,1.2308,13.688,2.4132,0.3283,10.1508,123.39
