roi,quantile,ll_,R0,beta,sigmac,sigmar,sigmad,sigmau,mbase,mlocation,extra_std,q,cbase,clocation,car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),car (week 5),ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),waic,loo,car (week 6),ifr (week 6),car (week 7),ifr (week 7),car (week 8),car (week 9),car (week 10),ifr (week 8),ifr (week 9),ifr (week 10),car (week 11),ifr (week 11)
US_NJ,0.75,-571.8439775046834,7.064254332951605,0.5260848547988517,0.035702062604139405,0.02330783126297861,0.04058317245425722,0.10255661665427049,0.3429489902127203,25.24247337077434,2.03140637374565,0.28698870159693035,5.7620320440845,104.37904527418742,0.09087604891626656,0.10542949422387031,0.13796771498548246,0.19025444219494056,0.2533960580590192,,0.00623818412374584,0.00890918757318023,0.013627038054819436,0.02331257759852104,0.04030070583788674,,1204.2666560781,1204.2719325995643,,,,,,,,,,,,
US_NJ,0.975,-568.1978050020963,11.466465682380779,0.7473685123989683,0.12706986427829237,0.038051423716468934,0.08353649855538574,0.2676412225513419,0.6020626120228136,37.76692164459376,2.246662093342284,0.7562349412297371,16.48872941364393,1174.2875069542295,0.27939830106479474,0.3197974738666451,0.4126031764230997,0.5178226667048267,0.6243086330205961,,0.02158718655014767,0.029879380207150825,0.04555033280239805,0.07169195483938787,0.11134125776069076,,1305.531577182274,1305.5371297801876,,,,,,,,,,,,
India,0.025,-494.5442027443824,1.8006272934001812,0.2212283441288757,0.0042673708912499275,0.018822618568776643,0.008570791551686116,0.024157863139239042,0.019326676991200352,5.191878819054488,0.7127056263430616,0.007906836924543076,0.33658990806277633,0.37247656533512696,0.04267991707334188,0.05456879146369726,0.057455998811154915,0.058476210975852386,0.05912678744248485,0.05954179941615424,0.0011563136115035262,0.002461873201947259,0.003144021068284802,0.0034889981962417617,0.0036388460636154105,0.0037207398790099285,875.3554367148377,875.928215700553,,,,,,,,,,,,
India,0.25,-489.177690882351,3.9168365202199302,0.3714530837426507,0.018873386010181247,0.02380538167717925,0.010752807783330143,0.047475075913962606,0.1609561983290158,14.45361418690851,0.7986455539958446,0.08139464186837714,1.7495701378975796,4.913377519090272,0.09941561656868472,0.13259388127918126,0.14237254592136916,0.14773541017939512,0.15080586798950124,0.1535821309470549,0.0027523607154200055,0.006158360144788759,0.008030347231411657,0.008982107460375791,0.009504630215586929,0.009833441450434265,944.524360496429,945.4895482837791,,,,,,,,,,,,
India,0.5,-486.8121415483663,6.799990401543008,0.8602125063004286,0.04351291266637822,0.02723113995157995,0.012206365715162306,0.0725501398047648,0.23769629956226956,23.967611875845346,0.8500122738271013,0.18401793117019835,4.119881745744389,18.194348056789615,0.17452209113672357,0.22876073758276372,0.24290487547824408,0.24989920258779208,0.2583314602981116,0.26556636018671204,0.004837055522267778,0.010703266528303083,0.013823699041364587,0.015373148163234589,0.016309506587334786,0.017111206893719318,980.8173711817708,981.988456300641,,,,,,,,,,,,
India,0.75,-484.7866248781864,12.398392479485297,1.27357669974894,0.1017089056069835,0.031306756466853485,0.013958517752761804,0.11959506799737402,0.3505815380164132,103.13620789831502,0.9042663400305943,0.34739311808314277,6.164399720467385,96.19661925524551,0.348637729310732,0.4236997093240439,0.43616589090586516,0.4430721229058992,0.4497389888241473,0.46596206906287035,0.009522078029458704,0.020193896107118997,0.02519319734841359,0.02739640698204445,0.028592200311387116,0.030081672481457572,1017.1103818671126,1018.487364317503,,,,,,,,,,,,
India,0.975,-481.6252742377474,29.702780422995403,2.7622657294077877,0.5304791768423415,0.0426397721205029,0.018550765854658688,0.38918134754179384,0.8780908837272684,397.09883714013296,1.0159601832628906,0.8380950498092148,14.644139447986017,1189.379944782976,0.9400496314249632,0.9030165309282,0.8883377619264257,0.8845404145123565,0.8841333310669505,0.8853086049188653,0.02851607407188348,0.050214732703715854,0.05692263203869622,0.05933209377906137,0.06029424600887572,0.06117410043129756,1086.279305648704,1088.048696900729,,,,,,,,,,,,
Indonesia,0.025,-476.189036823814,2.4445224911505936,0.2899351106302298,0.0064860691791182555,0.011339741437112133,0.013069383614967716,0.023047140821097663,0.053814774573235816,33.358376969953305,0.4825577707845901,0.005385144870281156,0.022683429684632345,0.4631690509856739,0.0063924047159238115,0.0034304860724241317,0.004656564741391111,0.005834433826592917,0.0066360821348970525,0.0070898375515932276,0.0002699150516679882,0.00016147234990335034,0.0003000223747187283,0.0005278970067984148,0.0007621851233690598,0.0009502090639031558,862.8669566960922,862.9233889758283,,,,,,,,,,,,
Indonesia,0.25,-470.78225864398445,4.520456347708461,0.415637148247987,0.016227029559166023,0.013930055533510979,0.015996667669990503,0.04306629806425597,0.17732915462303447,44.34519171890002,0.5560071859353571,0.06306341927180728,0.22368838732404572,5.9570319749046705,0.023064914266923434,0.02163015860837579,0.02854431107013346,0.036045900122052756,0.04177953309120558,0.04562142484532379,0.00096293666335101,0.0011616787590165256,0.0020148735064145673,0.0033513341173675073,0.0048231930025728915,0.0061342936391753445,916.4165159495574,916.4801667940587,,,,,,,,,,,,
Indonesia,0.5,-468.4689097783538,6.383610662843433,0.513452567674574,0.029073512678441424,0.015629253897093975,0.01797032243067195,0.06290465101534243,0.2670999416549542,48.47611027643504,0.5997052990002618,0.14564045446267576,0.7658580177114751,25.850620060963692,0.04433707204021642,0.04719185714688914,0.06121182896454472,0.0772316115879227,0.0905797722276004,0.1000129844728693,0.001877563669911502,0.0026880564006793025,0.004504971136127045,0.007363048427819147,0.010623786030820051,0.013559633143971375,944.514028819905,944.5814672533095,,,,,,,,,,,,
Indonesia,0.75,-466.3276556634462,9.066447185563106,0.7346084524458734,0.055292273677306186,0.017618810928753066,0.02031449472513298,0.09708308603372841,0.35031217400045445,52.268853390156735,0.6455391808576267,0.28013675236262214,4.1773101823928505,85.99616952424145,0.09118475275770821,0.10711532110135849,0.13940322073859457,0.17202726588628428,0.19872345878474543,0.21803191871032965,0.0038883816998892587,0.006309590278423021,0.010479085285634498,0.01667211492268259,0.02358598391134324,0.03002666399388703,972.6115416902526,972.6827677125602,,,,,,,,,,,,
Indonesia,0.975,-463.0630828155279,19.484688467151834,1.8282873212931068,0.2462969857062284,0.022550594414876047,0.02602128259016184,0.24887337367348253,0.5980445022843724,195.6311892635766,0.7410875367915356,0.7664398801869927,16.59774688029071,996.4365950528874,0.3535121450379104,0.41787783315363475,0.5834064081173501,0.7068189486545686,0.7659422384801259,0.7905101199733188,0.015234188589347589,0.024429314581215517,0.042608222381224754,0.06810726852889645,0.09147880832989956,0.10910782738553854,1026.1611009437179,1026.2395455307906,,,,,,,,,,,,
Singapore,0.025,-613.6619724395692,1.8167004708656362,0.19347154426921379,0.003746413066676786,0.054560908820937004,0.00895170266461622,0.022071483445048463,0.23977426726618337,1.5730550735579665,1.1195505757258286,0.004618465526938308,0.004077254006634154,1.462754401334008,0.015604524506767237,0.010707937325181332,0.006573026642103178,0.003823378565426168,0.0022854821960239195,0.0014159894887576642,0.00046571054820570954,0.0003408743354939961,0.00023940694575730846,0.00016291124392594326,0.00010553125482592458,7.095720739230868e-05,1097.2837638479857,1097.3264291527241,0.0009593931262460611,4.926543175959228e-05,0.0006975430548141571,3.641291265615028e-05,0.0005574754509389532,0.00048136182407097213,0.0004423501252961592,2.797252916895061e-05,2.3261218182156542e-05,2.0821465487252116e-05,0.00042070993103316984,1.947405737588942e-05
Singapore,0.25,-608.4847115083601,2.987003935993931,0.276577794591417,0.009198762969535413,0.10772406486626707,0.01283892596412421,0.04052473481630322,0.38379212321342315,4.498752586011751,1.2401928600916998,0.05555374022667946,0.0392288168519253,13.543048506594639,0.03482711460859809,0.031001503028624467,0.026938400806072932,0.020727846802404942,0.01449662354547401,0.009961328642351948,0.001151234936914978,0.0011387054456052255,0.0010724257090200563,0.0009183786286268648,0.0007006005028954868,0.000501919676833495,1176.9428447687117,1176.9961444233327,0.00705972207963987,0.0003626902038973714,0.005334798757009001,0.0002715171899990265,0.004366371074452864,0.003861337117644254,0.003596019250983585,0.00021538154592522495,0.00018420722800997611,0.00016715785729320067,0.003452199528205999,0.0001577640423618388
Singapore,0.5,-606.2537404850622,3.9337882820545644,0.3330837226034618,0.01635173339389356,0.20176135158843517,0.016107011712049,0.05847746362642877,0.4691717533813229,7.520908233943814,1.3081148370572833,0.13314380188738562,0.0860435539309033,18.660182853255144,0.059040929069387835,0.055487727384251284,0.051321102210544735,0.04264446468353522,0.032007813294799674,0.023128875500574176,0.00200568188140307,0.0021432547418036305,0.002196012564446099,0.0020099093763094383,0.0016321174215878538,0.0012277111961068973,1218.7400524883124,1218.7989319980595,0.017135039342639304,0.0009110912886281902,0.013543956561821602,0.0006968738324421662,0.011496395230896846,0.010304212233262201,0.009672514639137805,0.0005650608496871894,0.0004895508702086407,0.00044676063726110785,0.009329113001064208,0.00042336825268967477
