roi,quantile,R0,Rt-by-week,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Albania,0.25,1.928407217236129,,0.07749714710753751,0.10482807087865066,,,0.12206055512674216,0.1418214683457658,0.16102499040229515,,,,,,,0.5397185767284863,0.002388234942794972,0.005267066931857648,,,0.007752831448402019,0.010736644450844443,0.01441156484701278,,,,,,,530.5307642678973,,530.7822197418564
Albania,0.5,2.6446527256001815,,0.13083167584872135,0.18169388477544018,,,0.2115034659701751,0.2437606586380414,0.27602717345192,,,,,,,0.6022674742268899,0.0041065888003176424,0.009319807194705945,,,0.013744428560341113,0.018908220408574716,0.025043724560124984,,,,,,,547.1682783237219,,547.4356532118694
Albania,0.75,3.561526575764865,,0.2319882958571417,0.31922026369470446,,,0.36421250105517244,0.4075712864158469,0.45053565822236213,,,,,,,0.670531536855142,0.007343185193108674,0.016799829057634424,,,0.02441527396343317,0.032447843201118876,0.041633618475921806,,,,,,,563.8057923795465,,564.0890866818825
Albania,0.975,5.914249840943807,,0.5821699872796073,0.6819357873406382,,,0.7233198375749023,0.7512352295235905,0.7832847449232032,,,,,,,0.8170563389659363,0.01912569204821951,0.03998275657414013,,,0.05464091337029795,0.06684036162708305,0.07954851053681138,,,,,,,595.5143478262091,,595.8279820955487
Albania,max,11.908809725185776,,1.1100769907284873,0.9777592496757658,,,0.9741791693873976,0.9782246315100105,0.9838450964066522,,,,,,,1.08789217454855,0.04962926739389217,0.07949110479302271,,,0.10049752311023226,0.11962404604490542,0.13490996676519143,,,,,,,,,
Albania,mean,2.8826864733124236,,0.17857405919830135,0.2346742947538617,,,0.2640367110160485,0.29306715189028876,0.32189262177289163,,,,,,,0.6085554877070606,0.005693258154293786,0.012618573000088161,,,0.018068990006712762,0.0236931372751849,0.03015646841789013,,,,,,,547.1682783237219,,547.4356532118694
Albania,min,1.037836291606532,,0.008764666213245084,0.00767941729784914,,,0.007615447224378297,0.007737791874774738,0.007755686513816157,,,,,,,0.28243881982142555,0.00019774655160099264,0.0003318443613191542,,,-0.016654559550738603,-0.0038246669696170147,0.0006320217998261663,,,,,,,,,
Albania,std,1.2527226518111754,,0.14419809230594935,0.17229046850388802,,,0.18378641058428677,0.1927830951528406,0.2017689650097676,,,,,,,0.09799572073218829,0.004862696253270271,0.010276196017779527,,,0.014068394981804337,0.01719842590661974,0.02043750867030531,,,,,,,24.666815249583607,,24.6904174083768
Algeria,0.025,1.4205101902030592,,0.01595512081143007,0.013384165229090878,,,0.013196839972224154,0.01411607883055563,0.017153352081502378,0.02106716869965678,,,,,,0.9045702385415746,0.0012585384326772111,0.0013929819644251326,,,0.0014691779781356318,0.001560075366721686,0.00215406713751863,0.003244599254624961,,,,,,822.4935150534321,,822.2222161014387
Algeria,0.25,2.2378879927301734,,0.03889232528085734,0.03902712641600842,,,0.04058016006877245,0.044257081643435,0.0528084133835941,0.06532589655504545,,,,,,1.003654973189443,0.003056085365138379,0.004156171484634782,,,0.004836852132922386,0.005286800365558361,0.007128104832583626,0.010469665561315917,,,,,,879.3795723897881,,879.0243052792263
