model,roi,quantile,R0,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
reducedlinearmodelq0,Kuwait,0.975,7.043923435882971,0.3786272571394607,0.3547340040760806,,,0.35623113051635785,0.35787381524145756,0.3614695465506677,0.3637600557187977,0.3637475941675696,,,,,1.7730896641124878,0.020961113755379273,0.030760686079766945,,,0.03605117782369458,0.03923186257981531,0.04172898607748638,0.04341906040263314,0.04471369691782892,,,,,841.0582163004497,,840.9298993333882
reducedlinearmodelq0,Kuwait,max,14.15447225641878,3.982850243024305,1.571434221324143,,,1.2149603998812442,1.0827288114752995,1.0216603814349643,0.9925256563532125,0.9808874289531683,,,,,2.056337860612635,0.2632206680044326,0.18627571435864793,,,0.15730363000766578,0.1584691551044143,0.16099476961811401,0.17180958817735378,0.17967954025448782,,,,,,,
reducedlinearmodelq0,Kuwait,mean,3.4798735319372858,0.09516449152456558,0.0938410881558543,,,0.09577308146956948,0.09739797791359352,0.09854391505292692,0.0993446660993887,0.09994944345522792,,,,,1.475650146871577,0.005117309760140812,0.007879625544051048,,,0.009400261909902207,0.01039789276578701,0.011076801966517358,0.011540484279536706,0.011867043193061371,,,,,746.1265173324459,,746.0327076392821
reducedlinearmodelq0,Kuwait,min,1.030230227675571,0.006652080016740838,0.004436530674305875,,,0.003607884763218256,0.0032738973216206767,0.0031151517578432825,0.0030339018198039186,0.00299092047289541,,,,,0.9765983564761506,0.0002561246945455338,0.0002488603929180691,,,0.00022206250221921468,0.00020911198788298762,0.0002036927148093573,0.00020055193634451187,0.0001985045030307084,,,,,,,
reducedlinearmodelq0,Kuwait,std,1.4439912479504122,0.1434473413454981,0.10270604076783908,,,0.09802266404426632,0.09700084862740707,0.09680389025180172,0.09682639945795724,0.09691064207539378,,,,,0.1416554301441857,0.008115191731656583,0.009336940219482176,,,0.01031514517469441,0.011102308986288082,0.011698442544038425,0.012128659633001913,0.012440333351030475,,,,,48.43543030219582,,48.41782422669148
reducedlinearmodelq0,Kyrgyzstan,0.025,2.1244497574965266,0.022435497226241257,0.024198340699354157,,,0.026877191602761776,0.02991372151331764,,,,,,,,1.2627601022262949,0.0014119803342229902,0.002273519889893247,,,0.0030468907814673553,0.003787753799162444,,,,,,,,303.6009737785088,,303.53227197464224
reducedlinearmodelq0,Kyrgyzstan,0.25,4.093648756669074,0.055585746627184004,0.07010274776259318,,,0.08084146850190327,0.08876293917445463,,,,,,,,1.4955492821413805,0.0037436800355607246,0.007161477984098564,,,0.01000964013939732,0.012423310709843143,,,,,,,,347.6731597294811,,347.5606181424038
reducedlinearmodelq0,Kyrgyzstan,0.5,5.808487742925273,0.09168814767392511,0.12197530679392293,,,0.1402273969200844,0.1527584448863641,,,,,,,,1.6290102264755215,0.006449922370746128,0.013150965590538053,,,0.018517976556109147,0.02272638657059643,,,,,,,,370.7978843629833,,370.66233999324703
reducedlinearmodelq0,Kyrgyzstan,0.75,8.170897283395117,0.15477647845038284,0.20713973686011583,,,0.23459468887781892,0.25247669065283174,,,,,,,,1.7769218021276376,0.0113176059065988,0.02373640889204007,,,0.033009020936660326,0.04003934668666495,,,,,,,,393.92260899648556,,393.76406184409024
reducedlinearmodelq0,Kyrgyzstan,0.975,14.913671512161946,0.42575257615933637,0.5125696366069032,,,0.5538431836211145,0.577075206221053,,,,,,,,2.096543096842397,0.033090340776116535,0.06274108851489958,,,0.08431412255024935,0.10069084658375396,,,,,,,,437.9947949474578,,437.7924080118518
reducedlinearmodelq0,Kyrgyzstan,max,34.688710090662774,1.0883605609155984,0.9239875198777112,,,0.9143795749206457,0.91184597793015,,,,,,,,2.857195281993936,0.15528333518103832,0.22319988978740415,,,0.27659071345902203,0.3073921378268509,,,,,,,,,,
reducedlinearmodelq0,Kyrgyzstan,mean,6.522485899899555,0.12427518491494864,0.1589663820660876,,,0.17838172313014192,0.19134244260906713,,,,,,,,1.643384301268723,0.009184835445954997,0.018240941805192434,,,0.02512983886429401,0.030475759980371192,,,,,,,,370.7978843629833,,370.66233999324703
reducedlinearmodelq0,Kyrgyzstan,min,1.151506533282321,0.0057275487500680145,0.0035441852452390847,,,0.0032472244106513224,0.003176854838534807,,,,,,,,0.9848107464922458,0.0003554304619814212,0.00033140786352121014,,,0.0003149586039302828,0.00030928427724488406,,,,,,,,,,
reducedlinearmodelq0,Kyrgyzstan,std,3.3541661413539368,0.106421718702777,0.12633284681846896,,,0.1355706129368224,0.14086573972835012,,,,,,,,0.2124779420657583,0.009104408231372646,0.01677436086533905,,,0.022226312129882332,0.026207835613943707,,,,,,,,34.284768043961606,,34.2506640673595
reducedlinearmodelq0,Latvia,0.025,1.936260622194569,0.018949124668101464,0.01957331439524847,,,0.022943177619492355,0.02761726133339536,0.03207764002567265,,,,,,,1.6680072916258617,0.0012450339191869093,0.001996960992290424,,,0.0029137367531527803,0.004342823640924991,0.006032013497890184,,,,,,,386.1480322249112,,386.11990722258383
reducedlinearmodelq0,Latvia,0.25,3.444707875447422,0.04526473844895662,0.055081548323648366,,,0.06877455744137835,0.0831549703330534,0.09456638442532304,,,,,,,1.9188982197742723,0.0034037671893418797,0.006282469683850731,,,0.010071387811127378,0.014889131716439592,0.019780652751035008,,,,,,,442.38471369867113,,442.34422434910203
reducedlinearmodelq0,Latvia,0.5,4.889540238598919,0.07792504187668049,0.10103104134301638,,,0.12508916569423795,0.14725504359928582,0.1651979449220406,,,,,,,2.0667094746926415,0.006093769228634757,0.012306027430262084,,,0.019615061145555078,0.027907569535547634,0.036127238974313115,,,,,,,471.89216256515937,,471.84518562893976
