roi,quantile,ll_,R0,beta,sigmac,sigmar,sigmad,sigmau,mbase,mlocation,extra_std,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),waic,loo,Rt (week 5),car (week 5),ifr (week 5),Rt (week 6),car (week 6),ifr (week 6),Rt (week 7),Rt (week 8),Rt (week 9),car (week 7),car (week 8),car (week 9),ifr (week 7),ifr (week 8),ifr (week 9),Rt (week 10),Rt (week 11),car (week 10),car (week 11),ifr (week 10),ifr (week 11)
Algeria,std,2.1163610210672026,2.8200836354337935,0.32982364970784417,0.07720765331629333,0.02836057113772779,0.011444941724992198,0.08959433432524941,0.13887539486601397,39.22705902191647,0.08919438859533001,2.4693161425551375,2.2921762505934,2.009597341620105,1.6660291200625297,1.364040849313269,0.13854872829133008,0.1412538656172067,0.1445019525340736,0.14888076065672518,0.1581764366653406,0.010982979378146367,0.017083209241683543,0.020244056232785534,0.02226045539427423,0.024792421495747008,44.14344626115715,44.16731949523159,1.1823781541742706,0.1728223106906173,0.02972787815701137,,,,,,,,,,,,,,,,,,
Andorra,0.025,-259.5835916682241,1.3981764782394221,0.12745494553347503,0.0020520057697683176,0.020107415201646005,0.011813275294868995,0.023695458859464853,0.01144582925861846,13.788360255426436,1.1325264978278156,1.1544291185281463,1.1405903558294441,1.12465206023538,1.094456053718922,,0.017996308043937568,0.01724698139010773,0.01845694498224658,0.020034894743689247,,0.001008408871557024,0.0016498333723997667,0.0022365497744872937,0.0029410492346176502,,446.9990274691942,447.0599446876205,,,,,,,,,,,,,,,,,,,,,
Andorra,0.25,-255.43338027284557,2.334886487472689,0.21626163496911466,0.006184341811005041,0.029225755248472617,0.016485309994345523,0.04503783703376231,0.09436053137444006,29.207378861568856,1.2988209434563398,1.9886010692938536,1.9501916618607433,1.871053800089992,1.7657361974032137,,0.04181929352126898,0.0482340253279468,0.05542715897953685,0.06198557254105516,,0.0025371444204899804,0.004895425624400868,0.007163588725728838,0.009518666832358502,,489.2395958514752,489.33692201018675,,,,,,,,,,,,,,,,,,,,,
Andorra,0.5,-253.5175438490433,3.358006168341643,0.2950022548136513,0.01158504465623443,0.036990196352984464,0.019933785413749495,0.06707877250666985,0.17190556833307197,41.23735537308815,1.3963965785563965,2.91372001715082,2.834913888223604,2.7044602128746007,2.519776400074048,,0.06940561098034845,0.08489533862251662,0.09913351927355493,0.11098979340964822,,0.004324637209780966,0.008830624300025626,0.013193344451664691,0.017582723251474714,,511.4032687241913,511.51969869407395,,,,,,,,,,,,,,,,,,,,,
Andorra,0.75,-251.79098734185135,4.833911059336829,0.40281826706399443,0.02252768901852812,0.04850634143043838,0.02443095798256472,0.10597529066054767,0.2668237422364768,52.1787940930192,1.4993449399578354,4.217696492711986,4.115328205227537,3.9332351809637895,3.6728635975245068,,0.12087144342328726,0.1511396608773759,0.17698813314884498,0.1982041664569495,,0.0077392200226510085,0.016142774999945403,0.024277724881051815,0.032342932950781465,,533.5669415969076,533.7024753779612,,,,,,,,,,,,,,,,,,,,,
Andorra,0.975,-248.95837800498174,9.99921273692921,0.957966287204716,0.10636301398236668,0.09688479695480458,0.03888226908676541,0.3017395356843829,0.5115193549911284,142.12887289598288,1.7220852729245186,8.953592949733494,9.041772155255723,8.896774636596719,8.301480275560781,,0.4204011144450849,0.46891339354884287,0.513032070249296,0.5511790839182272,,0.028002417899028846,0.052317696290939054,0.07385327379674966,0.09455109534109864,,575.8075099791885,575.9794527005274,,,,,,,,,,,,,,,,,,,,,
Andorra,mean,-253.71790064812996,3.9361728949402774,0.34928788182144205,0.02306384776773655,0.04236940634173372,0.021267062391667653,0.09082129532986415,0.19398993564517403,47.390681506397925,1.4037254393932328,3.4337731213895926,3.381286270310202,3.2590115607774566,3.057225850296031,,0.10611283521424861,0.12348762266008584,0.14041662464445942,0.15484069247129173,,0.00680943007767544,0.013293652607944227,0.019426212847163907,0.025500264168433547,,511.4032687241913,511.51969869407395,,,,,,,,,,,,,,,,,,,,,
Andorra,std,2.722300425973113,2.3529123983122373,0.23721017105068762,0.060305070294650195,0.02333513150558447,0.007081791468522323,0.09170483727520987,0.13372584997757014,40.28467716215078,0.15001531814666513,2.157006414896215,2.225608252266512,2.2281428607038203,2.10646530297404,,0.1277274688827302,0.1235447928178495,0.1313168727807602,0.13939522619601902,,0.008768595413029346,0.014507755191376773,0.019742411385501656,0.024883707969124626,,32.8599105713215,32.88823392414543,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.025,-56.946511732783826,1.216841624687048,0.09873372181348328,0.0014258292900956224,0.022827300798616577,0.026938880533315994,0.025605889392580176,0.003706695725069386,14.838437631178321,2.311827481227734,1.005098450010987,0.8837646102782263,0.7615588239099538,,,0.0205448010459203,-0.13850978464580707,-0.049673910909818396,,,-0.019101937299820636,-0.05021373043339667,-0.055046416819591625,,,68.01739057676004,68.02113645772373,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.25,-54.22141673697031,2.318773471792154,0.2975090969095647,0.011085750615414386,0.03909232169492542,0.049974744965444386,0.05269856602449882,0.043025383271250266,29.56194948899226,2.9456914458228285,1.9934567106534553,1.8538381768327101,1.6833580115081306,,,0.07424069006293187,0.09042691571962738,0.09956103351158288,,,0.014680560478624908,0.029071370663015073,0.038208610060092206,,,94.93268770420178,94.9367268068284,,,,,,,,,,,,,,,,,,,,,
