roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Albania,0.25,6.07662208520474,6.07199704721394,6.063977721913854,,,6.02860551599772,5.881727257376181,5.392957123150468,,,,,,,0.06392634202083591,0.09953253609075086,,,0.12999402021846324,0.15236736195544986,0.16807408176366112,,,,,,,0.5944868570896048,0.00198302137445937,0.004992507782722472,,,0.008833160936082352,0.012638826829701747,0.01589300489185139,,,,,,,536.6413366200887,0.05070580691241218,536.3208775843699
Albania,0.5,8.44039777654115,8.434652147887615,8.41733992176366,,,8.342067854069517,8.068579557638024,7.28039968392999,,,,,,,0.1020504144480324,0.16001163301347382,,,0.20601060745403182,0.23833424082727295,0.2600985631908778,,,,,,,0.6565105126337607,0.0032781895402037957,0.00835341972401089,,,0.014479283491646944,0.020235037081126027,0.024993790808688094,,,,,,,553.782134800235,0.12588835329837333,553.4140454891832
Albania,0.75,11.591015886662596,11.581567602386588,11.531697222053205,,,11.365354931139997,10.892479755353788,9.703151443749881,,,,,,,0.1650347775624399,0.2516898807827733,,,0.3131723189972073,0.3549808008544351,0.38276263082221584,,,,,,,0.723828021885333,0.005431636931079706,0.013788942767044529,,,0.022864546023742473,0.03104615734839042,0.03763776612178395,,,,,,,570.9229329803812,0.2580242565028878,570.5072133939965
Albania,0.975,20.402332722651497,20.383416834353888,20.273424831922185,,,19.797901431238135,18.587302929605002,15.913584166632235,,,,,,,0.3953988354671127,0.5295798599744829,,,0.596936626456723,0.6353162473114067,0.6600737535421267,,,,,,,0.8676628652424925,0.014033855083569776,0.032435508083038266,,,0.04829599870957707,0.060924930686028826,0.0705979316758498,,,,,,,603.5906709412066,0.7019466853845032,603.0841753397714
Albania,max,47.25224309085292,47.030991319875476,46.3702088201688,,,43.90315491118958,39.065547095482415,32.2093073080791,,,,,,,0.9445424971127674,0.9361756882650392,,,0.9397400456922743,0.9413266967155725,0.942129673791485,,,,,,,1.137752270327677,0.04330862452173099,0.07577172464954333,,,0.10125464649945841,0.12059907971833929,0.13276921286429386,,,,,,,,2.147498816707241,
Albania,mean,9.34673197118423,9.334265299495401,9.298640463688512,,,9.174688754336316,8.79773564283263,7.847814102691926,,,,,,,0.13013021406324407,0.19267983876003877,,,0.23790231749464427,0.26882881318089447,0.28911689335986923,,,,,,,0.662082221005337,0.004324656352279212,0.010637766529482336,,,0.017420451379855262,0.0235641771338826,0.02854620808901588,,,,,,,553.782134800235,0.18629423056143488,553.4140454891832
Albania,min,1.3879010984109175,1.3878770817585657,1.3878037259138143,,,1.387506559198133,1.3841767737385282,1.3687086135974338,,,,,,,0.007387232627999667,0.007379206620803527,,,0.00750134930018607,0.007590057067308179,0.007639468327789701,,,,,,,0.36933619630585196,0.0002183156404527141,0.000325483641618609,,,0.00043954548491005667,0.0005341378625565822,0.0006051618834369365,,,,,,,,6.895018388616623e-05,
Albania,std,4.544951557259378,4.528914407882635,4.486021157034398,,,4.354846118867251,4.026919407470969,3.3900622390299247,,,,,,,0.09767744443140493,0.12795186562434893,,,0.1431228526336567,0.1515473493632236,0.15669487371422186,,,,,,,0.0965684632087621,0.003575112224722303,0.008055424744609742,,,0.01181138495903123,0.014710259188462612,0.01694292227038342,,,,,,,25.412985408841692,0.1919499530968676,25.34236865696502
Algeria,0.025,1.8619040808320504,1.8619013370617519,1.8613771063079658,,,1.8595768174504579,1.8526462277649247,1.8097966790602276,1.7142673924405396,,,,,,0.015475673655861133,0.013770855556349557,,,0.013971300527926734,0.0153550205394098,0.018348121221257944,0.022145852341880237,,,,,,0.9114113635826971,0.0011646457437335077,0.0013438437712278205,,,0.0014437478437620208,0.0017268630562489496,0.0023895466924321383,0.003487611998306853,,,,,,822.4737541595554,0.004653272156481707,822.402460816064
Algeria,0.25,2.976812258370696,2.97635886767085,2.97436307691492,,,2.967542582381504,2.9252869299383164,2.8228196227625943,2.676474279714051,,,,,,0.03388389502030846,0.03141090317136606,,,0.032774867296828214,0.037312419902088556,0.045875902412606855,0.05628730545625205,,,,,,1.0146927562257504,0.0027668002461470184,0.0032657679485258934,,,0.003576571423333792,0.004444012651895939,0.006295822790317879,0.009175960652471256,,,,,,879.7593705854315,0.05553119284190659,879.6702604549293
