roi,quantile,R0,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,loo,q,waic
Algeria,0.75,5.704986398780987,0.15228424133965746,0.1940501143416594,,,0.21726568762864779,0.24970290435470932,0.292933429847671,0.34039366918940084,,,,,,1.1311331236624609,0.011581271011641758,0.021754244733530707,,,0.02818708336853274,0.0343901473329726,0.04303171753510576,0.05532919250065965,,,,,,938.2850266441768,,938.2072567011559
Algeria,0.975,13.873974184302464,0.4105130113146002,0.4723490644705293,,,0.4963373916800384,0.5146374917803117,0.5553118110608524,0.6383162979296223,,,,,,1.2602277958344958,0.03192137748433566,0.05621217470411154,,,0.0687923336895818,0.07792217802045041,0.08862436581552069,0.11215358994850923,,,,,,994.910175628236,,994.812157289164
Algeria,max,35.95578889021828,1.1656427720831328,0.9774959632438917,,,0.9528353781841304,0.9447968737997444,0.9416681426369576,0.9507055560379987,,,,,,1.5237967432434936,0.1487258593117327,0.12966531923112892,,,0.15678911474955837,0.17168210411954582,0.18399256241020168,0.2353438939373851,,,,,,,,
Algeria,mean,4.799410620760276,0.12050664665662175,0.14695194775899897,,,0.161886347906393,0.17915201931979272,0.2044652270868755,0.23669733347249522,,,,,,1.073234593332667,0.009259798893500095,0.016560337344710182,,,0.021017189439851317,0.024955747342681314,0.030482208849755967,0.039203734255699375,,,,,,908.5737484460841,,908.5066028588296
Algeria,min,1.048646529536583,0.0027942198280420318,3.4151118865556516e-05,,,2.9266724023292096e-05,3.60443458847715e-05,4.14688956436462e-05,4.483755735583254e-05,,,,,,0.7403495233836949,0.0002071604666928981,3.201919128560103e-06,,,2.1769465906927066e-06,3.4908361309090227e-06,4.923244424928741e-06,6.056279348148517e-06,,,,,,,,
Algeria,std,3.2797484913872132,0.1047417874213939,0.12038983778012216,,,0.12671130192415173,0.1333022482771583,0.14715342675436652,0.1691321512993387,,,,,,0.0899833335256338,0.008390036991905622,0.014503384140157458,,,0.01801410179990211,0.020311409497145713,0.023337541476069874,0.029403271758660362,,,,,,44.050006971129385,,44.034255277699764
Andorra,0.025,1.2679075077120712,0.01975227284224766,0.0194419058995689,,,0.020820907502347788,0.02231572439571972,,,,,,,,1.1366175521870399,0.0011087103096927792,0.0018724524278885609,,,0.0025269169717347375,0.0031905534232455008,,,,,,,,447.31905314401456,,447.2445754272842
Andorra,0.25,2.2107878588731684,0.046708667057354714,0.05720555465317833,,,0.06546246901624052,0.07171356385396645,,,,,,,,1.3010037849561995,0.0028454118971765613,0.005860524681908791,,,0.008544706951744354,0.011121852719083117,,,,,,,,489.5029559884146,,489.38581342491943
Andorra,0.5,3.507177576117142,0.07699845169666514,0.09909257286692771,,,0.1157431142236214,0.12840087739310962,,,,,,,,1.3977782453629715,0.0047612133448386995,0.010300820180956178,,,0.015404989188567204,0.02024673414353022,,,,,,,,511.63689639083395,,511.49736753513025
Andorra,0.75,5.412548092948045,0.1316423793135452,0.17314034163311975,,,0.20328343697080184,0.2262812513604301,,,,,,,,1.4998673184537505,0.008330630850778821,0.018310069569339428,,,0.02790402267313571,0.03666345713717323,,,,,,,,533.7708367932534,,533.6089216453411
