Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),R current (CI),CAR current (CI),IFR current (CI),delta weeks
Chile,"4.7 (2.2, 9.6)","0.05 (0.02, 0.27)","0.0012 (0.0003, 0.0073)","4.2 (2.0, 8.9)","0.12 (0.02, 0.66)","0.0072 (0.0009, 0.044)",5
China,"9.7 (4.2, 19.4)","0.08 (0.03, 0.19)","0.0007 (0.0002, 0.0017)","0.6 (0.2, 1.0)","0.15 (0.02, 0.58)","0.0089 (0.0011, 0.0351)",11
Colombia,"3.4 (1.5, 7.0)","0.17 (0.04, 0.6)","0.0045 (0.0011, 0.0164)","5.5 (1.9, 15.8)","0.29 (0.06, 0.84)","0.0236 (0.0049, 0.0748)",4
Congo (Brazzaville),"2.5 (1.2, 6.4)","0.07 (0.01, 1.15)","0.013 (0.0012, 0.2155)","3.0 (0.7, 12.3)","0.19 (0.01, 1.04)","0.061 (0.0018, 0.6468)",3
Congo (Kinshasa),"4.3 (1.3, 13.2)","0.09 (0.02, 0.43)","0.0106 (0.0023, 0.0581)","2.8 (1.1, 10.7)","0.17 (0.03, 0.97)","0.0477 (0.0075, 0.2682)",3
Costa Rica,"5.0 (2.1, 12.9)","0.07 (0.02, 0.37)","0.0032 (0.0007, 0.0174)","2.9 (1.3, 8.1)","0.21 (0.04, 0.86)","0.0287 (0.0046, 0.1247)",4
Croatia,"3.3 (1.6, 7.7)","0.04 (0.01, 0.3)","0.0017 (0.0003, 0.0121)","3.1 (1.6, 6.4)","0.07 (0.0, 0.61)","0.0059 (0.0003, 0.0577)",6
Cuba,"4.3 (1.8, 12.6)","0.06 (0.02, 0.41)","0.0026 (0.0006, 0.019)","3.2 (1.5, 9.6)","0.1 (0.01, 0.9)","0.0092 (0.0012, 0.0803)",4
Cyprus,"6.9 (2.5, 17.5)","0.11 (0.02, 0.45)","0.0052 (0.0011, 0.0241)","3.2 (1.4, 9.9)","0.32 (0.07, 0.9)","0.0476 (0.009, 0.1607)",4
Czechia,"3.5 (1.6, 7.6)","0.05 (0.02, 0.29)","0.0016 (0.0004, 0.0083)","3.9 (1.8, 8.0)","0.15 (0.03, 0.76)","0.0136 (0.0022, 0.0704)",5
Denmark,"5.7 (2.4, 13.4)","0.06 (0.02, 0.29)","0.002 (0.0006, 0.0104)","3.4 (1.6, 7.1)","0.2 (0.02, 0.79)","0.0217 (0.0024, 0.0958)",5
Diamond Princess,"2.6 (1.3, 6.3)","0.07 (0.02, 0.59)","0.007 (0.0012, 0.0546)","0.4 (0.0, 1.3)","0.29 (0.02, 0.99)","0.0894 (0.0064, 0.4249)",9
Djibouti,"4.3 (1.7, 13.4)","0.07 (0.02, 0.4)","0.0062 (0.0013, 0.0413)","3.9 (1.6, 14.2)","0.12 (0.01, 0.88)","0.0156 (0.0014, 0.1359)",2
Dominican Republic,"4.3 (1.8, 11.4)","0.04 (0.01, 0.25)","0.0028 (0.0004, 0.018)","4.4 (1.9, 11.7)","0.07 (0.0, 0.59)","0.0101 (0.0006, 0.0899)",4
Ecuador,"3.4 (1.5, 9.1)","0.04 (0.01, 0.25)","0.0029 (0.0005, 0.0212)","3.4 (1.5, 8.3)","0.03 (0.0, 0.44)","0.0048 (0.0001, 0.0689)",5
Egypt,"5.5 (1.5, 17.4)","0.12 (0.03, 0.96)","0.0057 (0.0015, 0.0435)","2.1 (1.3, 4.4)","0.2 (0.05, 0.88)","0.0233 (0.0052, 0.1015)",4
El Salvador,"5.6 (2.1, 14.2)","0.09 (0.02, 0.41)","0.0059 (0.0013, 0.0313)","3.9 (1.5, 14.6)","0.18 (0.03, 0.92)","0.0247 (0.0038, 0.1359)",2
Estonia,"4.6 (2.0, 11.5)","0.07 (0.02, 0.33)","0.0029 (0.0007, 0.0155)","3.3 (1.4, 8.1)","0.17 (0.03, 0.71)","0.0233 (0.0037, 0.1054)",4
Ethiopia,"2.0 (1.2, 4.4)","0.06 (0.01, 0.51)","0.0095 (0.0016, 0.0966)","2.2 (0.9, 8.2)","0.1 (0.01, 1.02)","0.0293 (0.0018, 0.3639)",3
Finland,"5.3 (2.2, 17.4)","0.06 (0.02, 0.37)","0.0041 (0.0009, 0.0268)","2.7 (1.4, 6.1)","0.2 (0.03, 0.87)","0.0325 (0.0038, 0.1613)",5
France,"1.5 (1.0, 5.7)","0.69 (0.01, 9.43)","0.0561 (0.001, 0.8798)","0.5 (0.1, 1.6)","0.0 (0.0, 0.29)","0.0003 (0.0, 0.0428)",10
Gabon,"2.3 (1.2, 5.4)","0.06 (0.01, 0.89)","0.011 (0.0016, 0.1414)","2.8 (0.8, 11.4)","0.13 (0.01, 1.05)","0.038 (0.0016, 0.5521)",2
Georgia,"5.6 (2.2, 14.8)","0.08 (0.02, 0.51)","0.0051 (0.0012, 0.0324)","1.8 (1.1, 3.7)","0.19 (0.03, 0.96)","0.0281 (0.0044, 0.1531)",5
Germany,"1.7 (1.0, 5.3)","0.21 (0.01, 9.35)","0.0079 (0.0003, 0.3828)","2.4 (0.5, 4.9)","0.55 (0.09, 0.88)","0.0413 (0.0068, 0.0864)",10
Ghana,"5.6 (1.6, 19.5)","0.13 (0.02, 1.04)","0.0128 (0.0021, 0.1113)","3.1 (1.4, 10.9)","0.22 (0.03, 0.95)","0.0457 (0.0048, 0.2616)",3
Greece,"4.4 (2.0, 10.5)","0.05 (0.02, 0.29)","0.0032 (0.0008, 0.0187)","2.7 (1.4, 5.3)","0.24 (0.03, 0.89)","0.0521 (0.0065, 0.2148)",6
