Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI)
Kyrgyzstan,"5.0 (1.6, 16.2)","0.11 (0.03, 0.46)","0.0077 (0.0017, 0.0361)"
Latvia,"5.0 (2.0, 13.8)","0.08 (0.02, 0.39)","0.0062 (0.0013, 0.0373)"
Lebanon,"4.8 (1.9, 17.6)","0.1 (0.02, 0.88)","0.0043 (0.0008, 0.037)"
Liberia,"6.1 (1.7, 19.8)","0.11 (0.02, 0.58)","0.0167 (0.0024, 0.1179)"
Libya,"4.4 (1.4, 17.7)","0.09 (0.02, 0.67)","0.0153 (0.0024, 0.1466)"
Liechtenstein,"4.3 (1.2, 14.5)","0.13 (0.02, 0.86)","0.0233 (0.003, 0.2331)"
Lithuania,"5.4 (2.2, 14.4)","0.07 (0.02, 0.35)","0.0034 (0.0008, 0.0195)"
Luxembourg,"6.0 (2.5, 15.4)","0.08 (0.02, 0.33)","0.0034 (0.0008, 0.0177)"
Malaysia,"1.7 (1.1, 3.3)","0.03 (0.01, 0.17)","0.0013 (0.0005, 0.0076)"
Mali,"6.6 (1.7, 21.2)","0.17 (0.04, 0.96)","0.0141 (0.003, 0.0848)"
Malta,"4.9 (1.9, 12.5)","0.08 (0.02, 0.4)","0.0068 (0.0015, 0.0396)"
Mauritius,"6.3 (2.1, 17.3)","0.11 (0.02, 0.47)","0.0073 (0.0014, 0.0367)"
Mexico,"3.1 (1.4, 10.4)","0.05 (0.01, 0.34)","0.0037 (0.0008, 0.0293)"
Moldova,"6.4 (2.4, 15.6)","0.09 (0.02, 0.38)","0.0029 (0.0007, 0.0131)"
Monaco,"5.0 (1.6, 14.1)","0.09 (0.02, 0.56)","0.0142 (0.0027, 0.099)"
Montenegro,"6.8 (2.6, 17.8)","0.11 (0.03, 0.46)","0.0083 (0.0016, 0.0403)"
Morocco,"6.8 (2.5, 19.3)","0.09 (0.02, 0.45)","0.0027 (0.0006, 0.0143)"
