Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),"Rt(April 15th, 2020) (CI)","CARt(April 15th, 2020) (CI)","IFRt(April 15th, 2020) (CI)",delta weeks
Dominican Republic,"4.3 (1.9, 10.7)","0.05 (0.01, 0.29)","0.0031 (0.0006, 0.0204)","4.01 (1.7, 12.67)","0.07 (0.01, 0.46)","0.0106 (0.0016, 0.0709)",4
Ecuador,"3.3 (1.5, 8.6)","0.04 (0.01, 0.3)","0.0032 (0.0006, 0.0253)","3.39 (1.48, 10.94)","0.04 (0.0, 0.4)","0.0057 (0.0005, 0.0612)",5
Egypt,"4.9 (1.7, 13.7)","0.11 (0.03, 0.62)","0.0053 (0.0014, 0.0292)","2.11 (1.13, 6.06)","0.18 (0.04, 0.68)","0.0213 (0.005, 0.0818)",4
El Salvador,"5.0 (1.8, 14.2)","0.1 (0.02, 0.56)","0.0069 (0.0014, 0.0406)","4.14 (1.49, 12.83)","0.16 (0.03, 0.65)","0.0209 (0.0032, 0.0993)",2
Estonia,"4.6 (1.9, 12.8)","0.07 (0.02, 0.38)","0.0031 (0.0007, 0.0174)","3.55 (1.51, 9.52)","0.15 (0.03, 0.57)","0.0198 (0.0037, 0.0859)",4
Ethiopia,"2.8 (1.3, 9.6)","0.07 (0.01, 0.75)","0.0109 (0.0019, 0.1224)","2.12 (0.93, 7.84)","0.07 (0.01, 0.72)","0.0218 (0.0018, 0.2655)",3
Finland,"4.8 (1.9, 14.7)","0.07 (0.02, 0.46)","0.0047 (0.001, 0.0312)","3.24 (1.53, 7.86)","0.15 (0.03, 0.61)","0.0249 (0.0041, 0.1203)",5
France,"1.5 (1.1, 5.1)","0.53 (0.01, 7.18)","0.0422 (0.001, 0.6573)","1.21 (0.73, 2.55)","0.11 (0.02, 0.63)","0.0163 (0.003, 0.1028)",10
Gabon,"3.2 (1.3, 10.7)","0.07 (0.01, 0.87)","0.0129 (0.0019, 0.1629)","2.2 (0.8, 8.6)","0.08 (0.01, 0.89)","0.023 (0.0016, 0.354)",2
Georgia,"4.6 (1.7, 12.5)","0.09 (0.02, 0.57)","0.0056 (0.0013, 0.0364)","1.81 (1.11, 4.45)","0.16 (0.03, 0.65)","0.0238 (0.0039, 0.1085)",5
Germany,"1.7 (1.0, 4.9)","0.19 (0.01, 8.09)","0.0074 (0.0004, 0.3351)","0.9 (0.56, 1.79)","0.11 (0.03, 0.71)","0.0081 (0.0018, 0.0614)",10
Ghana,"5.2 (1.7, 15.8)","0.1 (0.02, 0.61)","0.0105 (0.0019, 0.072)","3.69 (1.41, 12.56)","0.17 (0.03, 0.71)","0.0361 (0.0039, 0.2002)",3
Greece,"4.4 (2.0, 12.0)","0.06 (0.02, 0.4)","0.0038 (0.0008, 0.0247)","2.76 (1.4, 5.82)","0.19 (0.03, 0.67)","0.0407 (0.0067, 0.1635)",6
Guatemala,"3.2 (1.3, 10.7)","0.07 (0.02, 0.61)","0.0091 (0.0018, 0.0768)","2.29 (1.03, 8.5)","0.09 (0.01, 0.61)","0.0208 (0.002, 0.1621)",3
Guinea,"4.4 (1.7, 14.3)","0.08 (0.02, 0.55)","0.0076 (0.0014, 0.0553)","3.51 (1.31, 12.58)","0.1 (0.01, 0.6)","0.0153 (0.0018, 0.1137)",2
Guyana,"3.5 (1.2, 12.0)","0.16 (0.02, 1.34)","0.0318 (-0.0086, 0.3779)","2.22 (0.64, 9.12)","0.25 (-0.07, 1.49)","0.1119 (-0.0393, 0.8531)",3
Haiti,"3.6 (1.2, 12.6)","0.15 (0.02, 1.18)","0.0308 (0.0019, 0.3536)","2.88 (0.81, 11.47)","0.24 (0.01, 1.25)","0.0929 (-0.0005, 0.7396)",2
Honduras,"3.9 (1.6, 12.7)","0.07 (0.02, 0.48)","0.0089 (0.0016, 0.0672)","2.85 (1.24, 8.47)","0.13 (0.02, 0.62)","0.0384 (0.0052, 0.2132)",4
Hungary,"5.0 (2.0, 14.0)","0.07 (0.02, 0.42)","0.0035 (0.0008, 0.0203)","3.23 (1.49, 7.81)","0.14 (0.03, 0.55)","0.0177 (0.0035, 0.0742)",5
Iceland,"4.4 (1.8, 14.5)","0.11 (0.02, 0.48)","0.0026 (0.0006, 0.012)","2.58 (1.34, 7.08)","0.31 (0.06, 0.77)","0.0098 (0.0017, 0.0419)",5
India,"6.8 (2.3, 23.6)","0.14 (0.04, 0.67)","0.004 (0.001, 0.0194)","2.64 (1.5, 5.17)","0.22 (0.05, 0.7)","0.014 (0.0034, 0.0484)",5
Indonesia,"5.6 (2.3, 14.5)","0.05 (0.01, 0.31)","0.0021 (0.0005, 0.0133)","5.21 (2.1, 14.94)","0.12 (0.02, 0.6)","0.0159 (0.0031, 0.0845)",5
Iran,"7.9 (3.2, 17.4)","0.06 (0.02, 0.28)","0.0016 (0.0004, 0.0075)","1.34 (1.1, 1.86)","0.29 (0.07, 0.73)","0.0272 (0.0062, 0.0722)",7
Iraq,"2.5 (1.3, 9.6)","0.09 (0.02, 0.79)","0.0036 (0.0008, 0.0295)","1.65 (1.11, 3.18)","0.2 (0.03, 0.8)","0.0188 (0.0027, 0.0789)",6
Ireland,"5.5 (2.0, 16.6)","0.08 (0.02, 0.51)","0.0055 (0.0012, 0.0354)","3.2 (1.53, 7.74)","0.14 (0.03, 0.6)","0.0229 (0.0042, 0.1075)",5
Israel,"3.7 (1.8, 8.3)","0.05 (0.02, 0.34)","0.0013 (0.0003, 0.0083)","3.05 (1.54, 6.34)","0.1 (0.02, 0.48)","0.0053 (0.0011, 0.0284)",5
Italy,"3.4 (1.0, 8.4)","0.05 (0.01, 5.16)","0.0031 (0.0005, 0.3228)","0.83 (0.21, 1.19)","0.03 (0.01, 0.54)","0.0062 (0.0014, 0.1103)",10
Jamaica,"2.2 (1.2, 6.2)","0.05 (0.01, 0.46)","0.0091 (0.0018, 0.0839)","0.94 (0.5, 3.55)","0.04 (0.01, 0.4)","0.0121 (0.0012, 0.1249)",3
Japan,"3.3 (1.5, 7.2)","0.05 (0.02, 0.41)","0.0023 (0.0006, 0.0168)","1.93 (1.25, 3.36)","0.08 (0.01, 0.44)","0.0081 (0.0013, 0.0481)",10
Jordan,"6.1 (2.2, 16.9)","0.12 (0.03, 0.48)","0.0049 (0.0011, 0.022)","5.31 (1.91, 15.22)","0.28 (0.06, 0.73)","0.0274 (0.0054, 0.0855)",3
Kazakhstan,"5.4 (2.0, 14.4)","0.1 (0.03, 0.53)","0.0034 (0.0009, 0.0177)","3.14 (1.36, 9.36)","0.16 (0.04, 0.61)","0.0131 (0.0029, 0.0526)",4
Kenya,"4.2 (1.7, 12.9)","0.08 (0.02, 0.5)","0.0057 (0.0011, 0.0397)","3.45 (1.41, 10.74)","0.13 (0.02, 0.61)","0.0203 (0.0028, 0.1114)",3
"Korea, South","3.1 (1.4, 5.8)","0.04 (0.01, 0.79)","0.0014 (0.0003, 0.0287)","0.43 (0.05, 0.87)","0.1 (0.0, 0.74)","0.0071 (0.0002, 0.066)",9
Kosovo,"2.4 (1.2, 8.0)","0.06 (0.02, 0.47)","0.0076 (0.0015, 0.0671)","1.88 (0.91, 7.16)","0.06 (0.01, 0.5)","0.0143 (0.0017, 0.1404)",2
Kuwait,"4.3 (1.4, 15.9)","0.07 (0.02, 1.09)","0.0037 (0.0009, 0.0506)","1.79 (1.15, 3.5)","0.09 (0.01, 0.73)","0.01 (0.0007, 0.0893)",6
Kyrgyzstan,"5.2 (1.8, 15.2)","0.11 (0.02, 0.6)","0.0075 (0.0015, 0.0452)","3.71 (1.44, 12.44)","0.17 (0.03, 0.68)","0.026 (0.0041, 0.1207)",3
Latvia,"4.7 (1.8, 14.4)","0.09 (0.02, 0.53)","0.007 (0.0013, 0.0465)","3.06 (1.26, 9.05)","0.19 (0.03, 0.71)","0.0406 (0.0058, 0.1909)",4
Lebanon,"4.3 (1.9, 13.3)","0.07 (0.02, 0.49)","0.0033 (0.0007, 0.0221)","2.53 (1.2, 5.94)","0.2 (0.03, 0.71)","0.0321 (0.005, 0.1285)",5
Liberia,"4.9 (1.6, 15.3)","0.12 (0.02, 0.8)","0.0189 (0.0025, 0.1474)","4.3 (1.27, 14.09)","0.18 (0.02, 0.87)","0.0427 (0.0032, 0.3093)",1
Libya,"3.9 (1.3, 13.4)","0.1 (0.02, 1.01)","0.0178 (0.0012, 0.2248)","3.18 (0.99, 12.24)","0.13 (0.01, 1.11)","0.0331 (0.0017, 0.4473)",1
Liechtenstein,"4.6 (1.3, 15.4)","0.21 (0.02, 1.31)","0.0332 (-0.0119, 0.3348)","2.66 (0.62, 10.71)","0.38 (-0.05, 1.51)","0.1426 (-0.0647, 0.841)",3
Lithuania,"5.3 (2.1, 15.5)","0.08 (0.02, 0.44)","0.0038 (0.0008, 0.0241)","4.22 (1.67, 11.85)","0.19 (0.04, 0.66)","0.0288 (0.0051, 0.1178)",4
Luxembourg,"6.1 (2.5, 15.9)","0.08 (0.02, 0.43)","0.0038 (0.0008, 0.0223)","4.69 (1.85, 12.82)","0.3 (0.06, 0.78)","0.0535 (0.0096, 0.1865)",4
